tree,2025-05-02 16:10:02,10 seconds,100.00%
plank,2025-05-02 20:28:23,10 seconds,100.00%
tree,2025-05-02 20:37:03,10 seconds,100.00%
tree,2025-05-02 20:38:45,10 seconds,100.00%
plank,2025-05-02 20:40:50,10 seconds,100.00%
tree,2026-03-16 18:33:42,3s,81.98%
tree,2026-05-06 09:57:58,3s,83.92%
tree,2026-05-06 09:59:28,3s,89.64%
goddess,2026-05-06 10:02:59,3s,63.41%
plank,2026-05-06 10:04:07,3s,81.58%
goddess,2026-05-06 10:05:11,3s,67.67%
downdog,2026-05-06 10:06:46,3s,85.00%
downdog,2026-05-06 10:06:55,3s,83.42%
plank,2026-05-06 10:17:44,3s,80.96%
plank,2026-05-06 10:18:01,3s,82.59%
plank,2026-05-06 10:18:08,3s,85.25%
plank,2026-05-06 10:20:02,3s,84.32%
goddess,2026-05-06 10:22:49,3s,85.94%
goddess,2026-05-06 10:22:56,3s,81.79%
goddess,2026-05-06 10:25:15,3s,93.15%
goddess,2026-05-06 10:25:34,3s,86.54%
goddess,2026-05-06 10:27:09,3s,87.76%
goddess,2026-05-06 10:27:14,3s,90.63%
goddess,2026-05-06 10:28:24,3s,87.23%
plank,2026-05-06 12:35:33,3s,81.33%
plank,2026-05-06 12:35:38,3s,81.43%
plank,2026-05-06 12:51:40,3s,85.93%
plank,2026-05-06 12:51:46,3s,83.02%
plank,2026-05-06 12:51:53,3s,82.31%
plank,2026-05-06 12:53:20,3s,84.82%
plank,2026-05-06 12:53:26,3s,81.67%
plank,2026-05-06 12:53:45,3s,80.08%
plank,2026-05-06 12:54:01,3s,91.59%
plank,2026-05-06 12:54:23,3s,79.77%
plank,2026-05-06 12:54:27,3s,83.33%
plank,2026-05-06 12:54:59,3s,89.82%
